sno,fps-fps,fps-rbs,fps-bts,rbs-rbs,rbs-fps,rbs-bts,bts-bts,bts-fps,bts-rbs
1,208.149689,224.85112,196.057831,196.057831,196.057831,231.801666,196.057831,196.057831,196.057831
2,196.057831,220.005875,196.057831,196.057831,196.057831,196.057831,196.057831,196.057831,196.057831
3,196.057831,202.382553,196.057831,92.927383,172.143402,196.057831,125.220772,107.625656,92.927383
4,196.057831,196.057831,196.057831,92.927383,101.00811,92.927383,114.840851,92.927383,92.927383
5,196.057831,196.057831,196.057831,92.927383,92.927383,81.210892,92.927383,92.927383,65.568871
6,196.057831,196.057831,92.927383,74.720802,92.927383,63.773125,92.927383,81.580757,43.223827
7,196.057831,196.057831,92.927383,48.673283,92.927383,43.223827,43.223827,61.421028,33.745548
8,196.057831,196.057831,92.927383,43.223827,75.705162,43.223827,33.745548,43.223827,32.417294
9,196.057831,196.057831,92.927383,43.223827,64.695229,33.745548,32.417294,33.745548,28.345364
10,196.057831,196.057831,80.228516,43.223827,61.555866,33.745548,28.665264,32.417294,11.974319
11,196.057831,196.057831,75.371986,38.422886,61.194828,33.745548,28.345364,31.530924,11.122526
12,155.852982,196.057831,38.801552,33.745548,43.223827,33.745548,19.25239,28.345364,9.314536
13,153.626099,196.057831,35.273415,33.745548,43.223827,32.299862,15.258153,23.353252,8.142904
14,144.919891,154.503265,32.417294,33.745548,43.223827,19.520601,11.974319,21.748413,7.13255
15,140.05397,151.651184,25.27858,33.745548,33.901207,16.821407,11.122526,13.544437,3.660844
16,136.943665,139.459579,23.214987,33.745548,33.745548,11.974319,4.398458,11.974319,1.174225
17,92.927383,129.895355,23.214987,32.417294,33.745548,11.974319,1.70885,11.122526,0.597882
18,92.927383,127.425316,23.214987,28.345364,33.745548,11.974319,0.574005,8.856316,0.101695
19,92.927383,121.435951,5.090611,28.345364,33.745548,4.09013,0.079553,1.161381,0.062756
20,92.927383,121.083565,1.778911,23.214987,33.745548,3.328056,-9.045064,0.863446,0
21,92.927383,107.455887,0,11.974319,32.417294,3.328056,,0,0
22,75.371986,92.927383,0,11.974319,28.345364,3.328056,,0,0
23,75.371986,92.927383,0,11.974319,28.345364,2.201608,,0,0
24,75.371986,92.927383,0,9.496694,27.043161,0,,0,0
25,50.504612,92.927383,0,8.369294,23.214987,0,,0,0
26,43.223827,92.927383,0,7.422608,11.974319,0,,0,0
27,35.861515,90.782494,0,6.625173,11.974319,0,,0,0
28,32.417294,89.470337,0,6.495538,11.974319,0,,0,0
29,32.417294,87.882874,0,6.308568,11.610458,0,,0,0
30,30.272509,75.371986,0,4.653157,11.359724,0,,0,-0.977152
31,26.123152,75.371986,0,4.624165,4.347637,0,,,
32,25.223845,75.371986,-0.611434,3.780483,3.328056,0,,,
33,23.214987,58.953506,-12.514668,3.668872,3.328056,0,,,
34,23.214987,47.96085,-15.510739,3.665988,3.328056,-7.153653,,,
35,23.214987,43.223827,-46.050232,3.609909,3.328056,-12.106634,,,
36,22.938,39.398731,,3.551186,3.328056,,,,
37,22.076744,32.417294,,3.328056,-5.158644,,,,
38,19.7642,32.417294,,3.328056,-5.574435,,,,
39,19.758684,26.128824,,3.328056,-7.628123,,,,
40,19.309832,24.107206,,3.328056,-13.937846,,,,
41,14.378651,23.214987,,3.328056,-14.003412,,,,
42,8.055573,23.214987,,2.601235,-32.130173,,,,
43,6.287249,23.214987,,2.284675,-33.093216,,,,
44,5.090611,5.090611,,1.362932,-58.633877,,,,
45,-14.792699,-8.597457,,-2.486312,-95.137749,,,,
